Id,Condition,Dominant,TimeInsideGazeBounds,TimeOutsideGazeBounds,TotalTime,PercentageInsideGazeBounds,PercentageOutsideGazeBounds,,,,,,,,,,,,,,,,,,,,,
15,FacetoFaceIntersect,P2,TRUE,45.6377,126.8532,172.4909,26.45802,73.54198,,TimeInsideGazeBounds,FacetoFaceIntersect,45.6377,,TimeOutsideGazeBounds,FacetoFaceIntersect,126.8532,,TimeOutsideGazeBounds,FacetoFaceIntersect,172.4909,,TimeOutsideGazeBounds,FacetoFaceIntersect,26.45802,,TimeOutsideGazeBounds,FacetoFaceIntersect,73.54198
16,FacetoFaceIntersect,P2,TRUE,68.10965,104.1212,172.2309,39.54555,60.45445,,TimeInsideGazeBounds,FacetoFaceIntersect,68.10965,,TimeOutsideGazeBounds,FacetoFaceIntersect,104.1212,,TimeOutsideGazeBounds,FacetoFaceIntersect,172.2309,,TimeOutsideGazeBounds,FacetoFaceIntersect,39.54555,,TimeOutsideGazeBounds,FacetoFaceIntersect,60.45445
17,FacetoFaceIntersect,P2,TRUE,78.9892,84.86951,163.8587,48.20568,51.79432,,TimeInsideGazeBounds,FacetoFaceIntersect,78.9892,,TimeOutsideGazeBounds,FacetoFaceIntersect,84.86951,,TimeOutsideGazeBounds,FacetoFaceIntersect,163.8587,,TimeOutsideGazeBounds,FacetoFaceIntersect,48.20568,,TimeOutsideGazeBounds,FacetoFaceIntersect,51.79432
18,FacetoFaceIntersect,P2,TRUE,88.98798,75.22186,164.2098,54.19162,45.80838,,TimeInsideGazeBounds,FacetoFaceIntersect,88.98798,,TimeOutsideGazeBounds,FacetoFaceIntersect,75.22186,,TimeOutsideGazeBounds,FacetoFaceIntersect,164.2098,,TimeOutsideGazeBounds,FacetoFaceIntersect,54.19162,,TimeOutsideGazeBounds,FacetoFaceIntersect,45.80838
19,FacetoFaceIntersect,P2,TRUE,33.52768,200.4275,233.9552,14.33081,85.66919,,TimeInsideGazeBounds,FacetoFaceIntersect,33.52768,,TimeOutsideGazeBounds,FacetoFaceIntersect,200.4275,,TimeOutsideGazeBounds,FacetoFaceIntersect,233.9552,,TimeOutsideGazeBounds,FacetoFaceIntersect,14.33081,,TimeOutsideGazeBounds,FacetoFaceIntersect,85.66919
20,FacetoFaceIntersect,P2,TRUE,75.09549,157.7355,232.831,32.25322,67.74679,,TimeInsideGazeBounds,FacetoFaceIntersect,75.09549,,TimeOutsideGazeBounds,FacetoFaceIntersect,157.7355,,TimeOutsideGazeBounds,FacetoFaceIntersect,232.831,,TimeOutsideGazeBounds,FacetoFaceIntersect,32.25322,,TimeOutsideGazeBounds,FacetoFaceIntersect,67.74679
21,FacetoFaceIntersect,P2,TRUE,79.86353,148.4061,228.2697,34.98648,65.01352,,TimeInsideGazeBounds,FacetoFaceIntersect,79.86353,,TimeOutsideGazeBounds,FacetoFaceIntersect,148.4061,,TimeOutsideGazeBounds,FacetoFaceIntersect,228.2697,,TimeOutsideGazeBounds,FacetoFaceIntersect,34.98648,,TimeOutsideGazeBounds,FacetoFaceIntersect,65.01352
22,FacetoFaceIntersect,P2,TRUE,102.8457,125.2269,228.0726,45.0934,54.9066,,TimeInsideGazeBounds,FacetoFaceIntersect,102.8457,,TimeOutsideGazeBounds,FacetoFaceIntersect,125.2269,,TimeOutsideGazeBounds,FacetoFaceIntersect,228.0726,,TimeOutsideGazeBounds,FacetoFaceIntersect,45.0934,,TimeOutsideGazeBounds,FacetoFaceIntersect,54.9066
23,FacetoFaceIntersect,P2,TRUE,83.90118,153.4728,237.374,35.34556,64.65443,,TimeInsideGazeBounds,FacetoFaceIntersect,83.90118,,TimeOutsideGazeBounds,FacetoFaceIntersect,153.4728,,TimeOutsideGazeBounds,FacetoFaceIntersect,237.374,,TimeOutsideGazeBounds,FacetoFaceIntersect,35.34556,,TimeOutsideGazeBounds,FacetoFaceIntersect,64.65443
24,FacetoFaceIntersect,P2,TRUE,133.5438,103.7891,237.3329,56.26855,43.73145,,TimeInsideGazeBounds,FacetoFaceIntersect,133.5438,,TimeOutsideGazeBounds,FacetoFaceIntersect,103.7891,,TimeOutsideGazeBounds,FacetoFaceIntersect,237.3329,,TimeOutsideGazeBounds,FacetoFaceIntersect,56.26855,,TimeOutsideGazeBounds,FacetoFaceIntersect,43.73145
3,FaceToFaceNoIntersect,P2,TRUE,23.23773,144.1059,167.3436,13.88624,86.11376,,TimeInsideGazeBounds,FaceToFaceNoIntersect,23.23773,,TimeInsideGazeBounds,FaceToFaceNoIntersect,144.1059,,TimeOutsideGazeBounds,FaceToFaceNoIntersect,167.3436,,TimeOutsideGazeBounds,FaceToFaceNoIntersect,13.88624,,TimeOutsideGazeBounds,FaceToFaceNoIntersect,86.11376
4,FaceToFaceNoIntersect,P2,TRUE,53.09738,114.2465,167.3439,31.7295,68.2705,,TimeInsideGazeBounds,FaceToFaceNoIntersect,53.09738,,TimeInsideGazeBounds,FaceToFaceNoIntersect,114.2465,,TimeOutsideGazeBounds,FaceToFaceNoIntersect,167.3439,,TimeOutsideGazeBounds,FaceToFaceNoIntersect,31.7295,,TimeOutsideGazeBounds,FaceToFaceNoIntersect,68.2705
5,FaceToFaceNoIntersect,P2,TRUE,35.29526,114.8083,150.1036,23.51394,76.48607,,TimeInsideGazeBounds,FaceToFaceNoIntersect,35.29526,,TimeInsideGazeBounds,FaceToFaceNoIntersect,114.8083,,TimeOutsideGazeBounds,FaceToFaceNoIntersect,150.1036,,TimeOutsideGazeBounds,FaceToFaceNoIntersect,23.51394,,TimeOutsideGazeBounds,FaceToFaceNoIntersect,76.48607
6,FaceToFaceNoIntersect,P2,TRUE,41.181,108.6143,149.7953,27.49152,72.50848,,TimeInsideGazeBounds,FaceToFaceNoIntersect,41.181,,TimeInsideGazeBounds,FaceToFaceNoIntersect,108.6143,,TimeOutsideGazeBounds,FaceToFaceNoIntersect,149.7953,,TimeOutsideGazeBounds,FaceToFaceNoIntersect,27.49152,,TimeOutsideGazeBounds,FaceToFaceNoIntersect,72.50848
7,FaceToFaceNoIntersect,P2,TRUE,41.30685,197.9597,239.2666,17.26395,82.73605,,TimeInsideGazeBounds,FaceToFaceNoIntersect,41.30685,,TimeInsideGazeBounds,FaceToFaceNoIntersect,197.9597,,TimeOutsideGazeBounds,FaceToFaceNoIntersect,239.2666,,TimeOutsideGazeBounds,FaceToFaceNoIntersect,17.26395,,TimeOutsideGazeBounds,FaceToFaceNoIntersect,82.73605
8,FaceToFaceNoIntersect,P2,TRUE,105.1779,133.7452,238.9231,44.02165,55.97835,,TimeInsideGazeBounds,FaceToFaceNoIntersect,105.1779,,TimeInsideGazeBounds,FaceToFaceNoIntersect,133.7452,,TimeOutsideGazeBounds,FaceToFaceNoIntersect,238.9231,,TimeOutsideGazeBounds,FaceToFaceNoIntersect,44.02165,,TimeOutsideGazeBounds,FaceToFaceNoIntersect,55.97835
9,FaceToFaceNoIntersect,P2,TRUE,25.91602,111.2361,137.1521,18.89583,81.10417,,TimeInsideGazeBounds,FaceToFaceNoIntersect,25.91602,,TimeInsideGazeBounds,FaceToFaceNoIntersect,111.2361,,TimeOutsideGazeBounds,FaceToFaceNoIntersect,137.1521,,TimeOutsideGazeBounds,FaceToFaceNoIntersect,18.89583,,TimeOutsideGazeBounds,FaceToFaceNoIntersect,81.10417
10,FaceToFaceNoIntersect,P2,TRUE,36.23563,100.5923,136.828,26.48262,73.51739,,TimeInsideGazeBounds,FaceToFaceNoIntersect,36.23563,,TimeInsideGazeBounds,FaceToFaceNoIntersect,100.5923,,TimeOutsideGazeBounds,FaceToFaceNoIntersect,136.828,,TimeOutsideGazeBounds,FaceToFaceNoIntersect,26.48262,,TimeOutsideGazeBounds,FaceToFaceNoIntersect,73.51739
11,FaceToFaceNoIntersect,P2,TRUE,42.42206,89.56122,131.9833,32.14199,67.858,,TimeInsideGazeBounds,FaceToFaceNoIntersect,42.42206,,TimeInsideGazeBounds,FaceToFaceNoIntersect,89.56122,,TimeOutsideGazeBounds,FaceToFaceNoIntersect,131.9833,,TimeOutsideGazeBounds,FaceToFaceNoIntersect,32.14199,,TimeOutsideGazeBounds,FaceToFaceNoIntersect,67.858
12,FaceToFaceNoIntersect,P2,TRUE,58.16293,73.6438,131.8067,44.12744,55.87256,,TimeInsideGazeBounds,FaceToFaceNoIntersect,58.16293,,TimeInsideGazeBounds,FaceToFaceNoIntersect,73.6438,,TimeOutsideGazeBounds,FaceToFaceNoIntersect,131.8067,,TimeOutsideGazeBounds,FaceToFaceNoIntersect,44.12744,,TimeOutsideGazeBounds,FaceToFaceNoIntersect,55.87256
13,FaceToFaceNoIntersect,P2,TRUE,112.6284,126.4144,239.0428,47.11641,52.88359,,TimeInsideGazeBounds,FaceToFaceNoIntersect,112.6284,,TimeInsideGazeBounds,FaceToFaceNoIntersect,126.4144,,TimeOutsideGazeBounds,FaceToFaceNoIntersect,239.0428,,TimeOutsideGazeBounds,FaceToFaceNoIntersect,47.11641,,TimeOutsideGazeBounds,FaceToFaceNoIntersect,52.88359
14,FaceToFaceNoIntersect,P2,TRUE,123.0264,116.1091,239.1355,51.4463,48.5537,,TimeInsideGazeBounds,FaceToFaceNoIntersect,123.0264,,TimeInsideGazeBounds,FaceToFaceNoIntersect,116.1091,,TimeOutsideGazeBounds,FaceToFaceNoIntersect,239.1355,,TimeOutsideGazeBounds,FaceToFaceNoIntersect,51.4463,,TimeOutsideGazeBounds,FaceToFaceNoIntersect,48.5537
15,FaceToFaceNoIntersect,P2,TRUE,42.30927,97.34082,139.6501,30.29663,69.70338,,TimeInsideGazeBounds,FaceToFaceNoIntersect,42.30927,,TimeInsideGazeBounds,FaceToFaceNoIntersect,97.34082,,TimeOutsideGazeBounds,FaceToFaceNoIntersect,139.6501,,TimeOutsideGazeBounds,FaceToFaceNoIntersect,30.29663,,TimeOutsideGazeBounds,FaceToFaceNoIntersect,69.70338
16,FaceToFaceNoIntersect,P2,TRUE,74.69461,65.4856,140.1802,53.28471,46.71529,,TimeInsideGazeBounds,FaceToFaceNoIntersect,74.69461,,TimeInsideGazeBounds,FaceToFaceNoIntersect,65.4856,,TimeOutsideGazeBounds,FaceToFaceNoIntersect,140.1802,,TimeOutsideGazeBounds,FaceToFaceNoIntersect,53.28471,,TimeOutsideGazeBounds,FaceToFaceNoIntersect,46.71529
17,FaceToFaceNoIntersect,P2,TRUE,34.38702,77.25432,111.6413,30.80133,69.19866,,TimeInsideGazeBounds,FaceToFaceNoIntersect,34.38702,,TimeInsideGazeBounds,FaceToFaceNoIntersect,77.25432,,TimeOutsideGazeBounds,FaceToFaceNoIntersect,111.6413,,TimeOutsideGazeBounds,FaceToFaceNoIntersect,30.80133,,TimeOutsideGazeBounds,FaceToFaceNoIntersect,69.19866
18,FaceToFaceNoIntersect,P2,TRUE,59.32057,52.10135,111.4219,53.23959,46.76041,,TimeInsideGazeBounds,FaceToFaceNoIntersect,59.32057,,TimeInsideGazeBounds,FaceToFaceNoIntersect,52.10135,,TimeOutsideGazeBounds,FaceToFaceNoIntersect,111.4219,,TimeOutsideGazeBounds,FaceToFaceNoIntersect,53.23959,,TimeOutsideGazeBounds,FaceToFaceNoIntersect,46.76041
19,FaceToFaceNoIntersect,P2,TRUE,58.8866,137.4866,196.3732,29.98709,70.01291,,TimeInsideGazeBounds,FaceToFaceNoIntersect,58.8866,,TimeInsideGazeBounds,FaceToFaceNoIntersect,137.4866,,TimeOutsideGazeBounds,FaceToFaceNoIntersect,196.3732,,TimeOutsideGazeBounds,FaceToFaceNoIntersect,29.98709,,TimeOutsideGazeBounds,FaceToFaceNoIntersect,70.01291
20,FaceToFaceNoIntersect,P2,TRUE,86.91577,109.6069,196.5226,44.22685,55.77315,,TimeInsideGazeBounds,FaceToFaceNoIntersect,86.91577,,TimeInsideGazeBounds,FaceToFaceNoIntersect,109.6069,,TimeOutsideGazeBounds,FaceToFaceNoIntersect,196.5226,,TimeOutsideGazeBounds,FaceToFaceNoIntersect,44.22685,,TimeOutsideGazeBounds,FaceToFaceNoIntersect,55.77315
21,FaceToFaceNoIntersect,P2,TRUE,27.87338,59.89017,87.76355,31.75963,68.24036,,TimeInsideGazeBounds,FaceToFaceNoIntersect,27.87338,,TimeInsideGazeBounds,FaceToFaceNoIntersect,59.89017,,TimeOutsideGazeBounds,FaceToFaceNoIntersect,87.76355,,TimeOutsideGazeBounds,FaceToFaceNoIntersect,31.75963,,TimeOutsideGazeBounds,FaceToFaceNoIntersect,68.24036
22,FaceToFaceNoIntersect,P2,TRUE,63.02417,24.65283,87.677,71.88222,28.11779,,TimeInsideGazeBounds,FaceToFaceNoIntersect,63.02417,,TimeInsideGazeBounds,FaceToFaceNoIntersect,24.65283,,TimeOutsideGazeBounds,FaceToFaceNoIntersect,87.677,,TimeOutsideGazeBounds,FaceToFaceNoIntersect,71.88222,,TimeOutsideGazeBounds,FaceToFaceNoIntersect,28.11779
23,FaceToFaceNoIntersect,P2,TRUE,32.0441,92.75211,124.7962,25.67714,74.32286,,TimeInsideGazeBounds,FaceToFaceNoIntersect,32.0441,,TimeInsideGazeBounds,FaceToFaceNoIntersect,92.75211,,TimeOutsideGazeBounds,FaceToFaceNoIntersect,124.7962,,TimeOutsideGazeBounds,FaceToFaceNoIntersect,25.67714,,TimeOutsideGazeBounds,FaceToFaceNoIntersect,74.32286
24,FaceToFaceNoIntersect,P2,TRUE,54.95325,70.08224,125.0355,43.95012,56.04988,,TimeInsideGazeBounds,FaceToFaceNoIntersect,54.95325,,TimeInsideGazeBounds,FaceToFaceNoIntersect,70.08224,,TimeOutsideGazeBounds,FaceToFaceNoIntersect,125.0355,,TimeOutsideGazeBounds,FaceToFaceNoIntersect,43.95012,,TimeOutsideGazeBounds,FaceToFaceNoIntersect,56.04988
3,SideBySide,P2,TRUE,79.23358,159.0818,238.3154,33.24736,66.75263,,TimeInsideGazeBounds,SideBySide,79.23358,,TimeInsideGazeBounds,SideBySide,159.0818,,TimeOutsideGazeBounds,SideBySide,238.3154,,TimeOutsideGazeBounds,SideBySide,33.24736,,TimeOutsideGazeBounds,SideBySide,66.75263
4,SideBySide,P2,TRUE,124.508,114.712,239.22,52.04748,47.95252,,TimeInsideGazeBounds,SideBySide,124.508,,TimeInsideGazeBounds,SideBySide,114.712,,TimeOutsideGazeBounds,SideBySide,239.22,,TimeOutsideGazeBounds,SideBySide,52.04748,,TimeOutsideGazeBounds,SideBySide,47.95252
5,SideBySide,P2,TRUE,30.46533,57.68008,88.14542,34.56258,65.43742,,TimeInsideGazeBounds,SideBySide,30.46533,,TimeInsideGazeBounds,SideBySide,57.68008,,TimeOutsideGazeBounds,SideBySide,88.14542,,TimeOutsideGazeBounds,SideBySide,34.56258,,TimeOutsideGazeBounds,SideBySide,65.43742
6,SideBySide,P2,TRUE,14.44263,73.77606,88.21869,16.37139,83.62861,,TimeInsideGazeBounds,SideBySide,14.44263,,TimeInsideGazeBounds,SideBySide,73.77606,,TimeOutsideGazeBounds,SideBySide,88.21869,,TimeOutsideGazeBounds,SideBySide,16.37139,,TimeOutsideGazeBounds,SideBySide,83.62861
7,SideBySide,P2,TRUE,30.47244,137.9438,168.4162,18.09353,81.90646,,TimeInsideGazeBounds,SideBySide,30.47244,,TimeInsideGazeBounds,SideBySide,137.9438,,TimeOutsideGazeBounds,SideBySide,168.4162,,TimeOutsideGazeBounds,SideBySide,18.09353,,TimeOutsideGazeBounds,SideBySide,81.90646
8,SideBySide,P2,TRUE,55.79712,112.3282,168.1253,33.18782,66.81218,,TimeInsideGazeBounds,SideBySide,55.79712,,TimeInsideGazeBounds,SideBySide,112.3282,,TimeOutsideGazeBounds,SideBySide,168.1253,,TimeOutsideGazeBounds,SideBySide,33.18782,,TimeOutsideGazeBounds,SideBySide,66.81218
9,SideBySide,P2,TRUE,79.28873,154.6726,233.9613,33.88968,66.11032,,TimeInsideGazeBounds,SideBySide,79.28873,,TimeInsideGazeBounds,SideBySide,154.6726,,TimeOutsideGazeBounds,SideBySide,233.9613,,TimeOutsideGazeBounds,SideBySide,33.88968,,TimeOutsideGazeBounds,SideBySide,66.11032
10,SideBySide,P2,TRUE,112.9923,121.2739,234.2663,48.23244,51.76756,,TimeInsideGazeBounds,SideBySide,112.9923,,TimeInsideGazeBounds,SideBySide,121.2739,,TimeOutsideGazeBounds,SideBySide,234.2663,,TimeOutsideGazeBounds,SideBySide,48.23244,,TimeOutsideGazeBounds,SideBySide,51.76756
11,SideBySide,P2,TRUE,55.6514,153.5869,209.2383,26.59713,73.40287,,TimeInsideGazeBounds,SideBySide,55.6514,,TimeInsideGazeBounds,SideBySide,153.5869,,TimeOutsideGazeBounds,SideBySide,209.2383,,TimeOutsideGazeBounds,SideBySide,26.59713,,TimeOutsideGazeBounds,SideBySide,73.40287
12,SideBySide,P2,TRUE,86.34689,123.0127,209.3596,41.24334,58.75666,,TimeInsideGazeBounds,SideBySide,86.34689,,TimeInsideGazeBounds,SideBySide,123.0127,,TimeOutsideGazeBounds,SideBySide,209.3596,,TimeOutsideGazeBounds,SideBySide,41.24334,,TimeOutsideGazeBounds,SideBySide,58.75666
13,SideBySide,P2,TRUE,15.28314,87.17886,102.462,14.91591,85.08409,,TimeInsideGazeBounds,SideBySide,15.28314,,TimeInsideGazeBounds,SideBySide,87.17886,,TimeOutsideGazeBounds,SideBySide,102.462,,TimeOutsideGazeBounds,SideBySide,14.91591,,TimeOutsideGazeBounds,SideBySide,85.08409
14,SideBySide,P2,TRUE,36.77991,65.44739,102.2273,35.97856,64.02144,,TimeInsideGazeBounds,SideBySide,36.77991,,TimeInsideGazeBounds,SideBySide,65.44739,,TimeOutsideGazeBounds,SideBySide,102.2273,,TimeOutsideGazeBounds,SideBySide,35.97856,,TimeOutsideGazeBounds,SideBySide,64.02144
15,SideBySide,P2,TRUE,18.19421,114.5641,132.7584,13.70476,86.29524,,TimeInsideGazeBounds,SideBySide,18.19421,,TimeInsideGazeBounds,SideBySide,114.5641,,TimeOutsideGazeBounds,SideBySide,132.7584,,TimeOutsideGazeBounds,SideBySide,13.70476,,TimeOutsideGazeBounds,SideBySide,86.29524
16,SideBySide,P2,TRUE,18.08139,114.63,132.7114,13.62459,86.3754,,TimeInsideGazeBounds,SideBySide,18.08139,,TimeInsideGazeBounds,SideBySide,114.63,,TimeOutsideGazeBounds,SideBySide,132.7114,,TimeOutsideGazeBounds,SideBySide,13.62459,,TimeOutsideGazeBounds,SideBySide,86.3754
17,SideBySide,P2,TRUE,39.91107,152.6065,192.5175,20.73113,79.26887,,TimeInsideGazeBounds,SideBySide,39.91107,,TimeInsideGazeBounds,SideBySide,152.6065,,TimeOutsideGazeBounds,SideBySide,192.5175,,TimeOutsideGazeBounds,SideBySide,20.73113,,TimeOutsideGazeBounds,SideBySide,79.26887
18,SideBySide,P2,TRUE,107.2632,85.96683,193.23,55.51062,44.48938,,TimeInsideGazeBounds,SideBySide,107.2632,,TimeInsideGazeBounds,SideBySide,85.96683,,TimeOutsideGazeBounds,SideBySide,193.23,,TimeOutsideGazeBounds,SideBySide,55.51062,,TimeOutsideGazeBounds,SideBySide,44.48938
19,SideBySide,P2,TRUE,15.47076,97.69565,113.1664,13.67081,86.32919,,TimeInsideGazeBounds,SideBySide,15.47076,,TimeInsideGazeBounds,SideBySide,97.69565,,TimeOutsideGazeBounds,SideBySide,113.1664,,TimeOutsideGazeBounds,SideBySide,13.67081,,TimeOutsideGazeBounds,SideBySide,86.32919
20,SideBySide,P2,TRUE,39.92834,72.91666,112.845,35.38335,64.61665,,TimeInsideGazeBounds,SideBySide,39.92834,,TimeInsideGazeBounds,SideBySide,72.91666,,TimeOutsideGazeBounds,SideBySide,112.845,,TimeOutsideGazeBounds,SideBySide,35.38335,,TimeOutsideGazeBounds,SideBySide,64.61665
21,SideBySide,P2,TRUE,23.5546,72.2363,95.79089,24.5896,75.4104,,TimeInsideGazeBounds,SideBySide,23.5546,,TimeInsideGazeBounds,SideBySide,72.2363,,TimeOutsideGazeBounds,SideBySide,95.79089,,TimeOutsideGazeBounds,SideBySide,24.5896,,TimeOutsideGazeBounds,SideBySide,75.4104
22,SideBySide,P2,TRUE,50.7579,45.28424,96.04214,52.84962,47.15038,,TimeInsideGazeBounds,SideBySide,50.7579,,TimeInsideGazeBounds,SideBySide,45.28424,,TimeOutsideGazeBounds,SideBySide,96.04214,,TimeOutsideGazeBounds,SideBySide,52.84962,,TimeOutsideGazeBounds,SideBySide,47.15038
23,SideBySide,P2,TRUE,59.29938,179.5552,238.8546,24.82656,75.17344,,TimeInsideGazeBounds,SideBySide,59.29938,,TimeInsideGazeBounds,SideBySide,179.5552,,TimeOutsideGazeBounds,SideBySide,238.8546,,TimeOutsideGazeBounds,SideBySide,24.82656,,TimeOutsideGazeBounds,SideBySide,75.17344
24,SideBySide,P2,TRUE,77.06128,162.1347,239.196,32.21679,67.7832,,TimeInsideGazeBounds,SideBySide,77.06128,,TimeInsideGazeBounds,SideBySide,162.1347,,TimeOutsideGazeBounds,SideBySide,239.196,,TimeOutsideGazeBounds,SideBySide,32.21679,,TimeOutsideGazeBounds,SideBySide,67.7832
